"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
335813461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189182,1884306,2348354.5
335815186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4230000,4936419,5967402
347212459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2067171,1147370,397202.5
416260263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430667,NA,NA,NA,NA,NA,NA,NA,NA,NA,11479491,7614324.5,6457480,71120485,97160028.5,66125606,987927912,1035007505,988948125
484430671,NA,NA,NA,NA,NA,NA,NA,NA,NA,5562695,3569898,5386289,32749445,52500542,42530557,570989683,554705352,637241866
484431534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484431539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7455748,3246012
484434482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335379,NA
95222858,NA,NA,NA,NA,NA,NA,NA,NA,NA,942891,307454,603683,11970672,17557589,10089471,128880600,152261013.5,111653419
319536141,NA,NA,NA,NA,NA,NA,NA,NA,NA,4281417,3567467,4400953,32382592,49673301,42120458,626096316,554914765,588589268
335771156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1142668,961982,580558
335810306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803996,NA,NA
484430640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4348728,12466696,2213911,32897335,28307429.5,115459299
484430643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259761.5,458927,355133,234780,2376085.5,104731
484430651,132250,21320,414357.5,73054,24325,NA,NA,NA,56997,1218256,4717743,866118,28000056.5,36186783,43531166.5,45376330.5,281621113,16970392
484430653,NA,NA,NA,NA,NA,NA,NA,NA,NA,8084396,5369150,9213139,68328227,110109629,68995464,954795635,860191446,1012434169
484430659,NA,NA,628444.5,NA,NA,NA,NA,NA,NA,2932503,7078654,1936661,46058662,61618918.5,59220504,203594255,547434966.5,119737454
484430679,NA,NA,NA,NA,NA,NA,NA,NA,NA,9229838,7233875,7561756,81249996,86052163,81097550,1018252326,890835247,867355898.5
